word,pinyin,definition
碰巧,peng4 qiao3,by chance/by coincidence/to happen to
潜艇,qian2 ting3,submarine
稍稍,shao1 shao1,somewhat/a little/slightly
稍候,shao1 hou4,to wait a moment
稍微,shao1 wei1,a little bit
稍后,shao1 hou4,in a little while/in a moment/later on
迟到,chi2 dao4,to arrive late
迟早,chi2 zao3,sooner or later
迟疑,chi2 yi2,to hesitate
迟迟,chi2 chi2,late (with a task etc)/slow
推迟,tui1 chi2,to postpone/to put off/to defer
车辆,che1 liang4,vehicle
废除,fei4 chu2,to abolish/to abrogate/to repeal
废物,fei4 wu4,rubbish/waste material/useless person
作废,zuo4 fei4,to become invalid/to cancel/to delete/to nullify
废品,fei4 pin3,production rejects/seconds/scrap/discarded material
报废,bao4 fei4,to scrap; to dispose of (sth worn-out or damaged)
废话,fei4 hua4,nonsense/rubbish/superfluous words/You don't say!/No kidding! (gently sarcastic)
半途而废,ban4 tu2 er2 fei4,to give up halfway (idiom); leave sth unfinished
一干二净,yi1 gan1 er4 jing4,thoroughly (idiom)/completely/one and all/very clean
干净,gan1 jing4,clean/neat
净化,jing4 hua4,to purify
纯净水,chun2 jing4 shui3,purified water
凶猛,xiong1 meng3,fierce/violent/ferocious
凶手,xiong1 shou3,murderer/assassin
凶残,xiong1 can2,savage/cruel/fierce
凶恶,xiong1 e4,fierce/ferocious/fiendish/frightening
签署,qian1 shu3,to sign (an agreement)
部署,bu4 shu3,to dispose/to deploy/deployment
隔壁,ge2 bi4,next door/neighbor
壁画,bi4 hua4,mural (painting)/fresco
墙壁,qiang2 bi4,wall
防御,fang2 yu4,defense/to defend
抵御,di3 yu4,to resist/to withstand
奉献,feng4 xian4,to offer respectfully/to consecrate/to dedicate/to devote
无可奉告,wu2 ke3 feng4 gao4,"(idiom) ""no comment"""
供奉,gong4 feng4,to consecrate/to enshrine and worship/an offering (to one's ancestors)/a sacrifice (to a god)
周旋,zhou1 xuan2,to mix with others/to socialize/to deal with/to contend
旋律,xuan2 lu:4,melody
旋转,xuan2 zhuan3,to rotate/to revolve/to spin/to whirl
冬天,dong1 tian1,winter/CL:個|个[ge4]
冬季,dong1 ji4,winter
采矿,cai3 kuang4,mining
矿藏,kuang4 cang2,mineral resources
抬头,tai2 tou2,"to raise one's head/to gain ground/account name, or space for writing the name on checks, bills etc"
蛋白质,dan4 bai2 zhi4,protein
完蛋,wan2 dan4,(coll.) to be done for
早晨,zao3 chen2,early morning/CL:個|个[ge4]/also pr. [zao3 chen5]
清晨,qing1 chen2,early morning
此起彼伏,ci3 qi3 bi3 fu2,"up here, down there (idiom); to rise and fall in succession/no sooner one subsides, the next arises/repeating continuously/occurring again and again (of applause, fires, waves, protests, conflicts, uprisings etc)"
起伏,qi3 fu2,to move up and down/to undulate/ups and downs
吹了,chui1 le5,failed; busted; to have not succeeded/to have died/to have parted company; to have chilled (of a relationship)
吹牛,chui1 niu2,to talk big/to shoot off one's mouth/to chat (dialect)
公鸡,gong1 ji1,cock/rooster
母鸡,mu3 ji1,"hen/don't know (humorous slang mimicking Cantonese 唔知, Jyutping: m4 zi1)"
鸡蛋,ji1 dan4,"(chicken) egg/hen's egg/CL:個|个[ge4],打[da2]"
含糊,han2 hu5,ambiguous/vague/careless/perfunctory
模糊,mo2 hu5,vague/indistinct/fuzzy
后盾,hou4 dun4,support/backing
世界杯,Shi4 jie4 bei1,World Cup
杯子,bei1 zi5,"cup/glass/CL:個|个[ge4],隻|只[zhi1]"
干杯,gan1 bei1,to drink a toast/Cheers! (proposing a toast)/Here's to you!/Bottoms up!/lit. dry cup
奖杯,jiang3 bei1,trophy cup
房租,fang2 zu1,rent for a room or house
出租车,chu1 zu1 che1,taxi/(Tw) rental car
租金,zu1 jin1,rent
出租,chu1 zu1,to rent
骑车,qi2 che1,to ride a bike (motorbike or bicycle)
缺乏,que1 fa2,to lack; to be short of
隆重,long2 zhong4,grand/prosperous/ceremonious/solemn
克隆,ke4 long2,clone (loanword)
诊所,zhen3 suo3,clinic
确诊,que4 zhen3,to make a definite diagnosis/confirmed (case of a specific disease)
门诊,men2 zhen3,outpatient service
就诊,jiu4 zhen3,to see a doctor/to seek medical advice
会诊,hui4 zhen3,consultation (medical)/to meet for diagnosis/(by extension) consultation of different specialists
诊断,zhen3 duan4,diagnosis/to diagnose
急诊,ji2 zhen3,"to give or receive urgent medical treatment/emergency treatment (at a hospital emergency department, or from a doctor on a house call)"
摄像,she4 xiang4,to videotape
摄影师,she4 ying3 shi1,photographer/cameraman
拍摄,pai1 she4,to take (a picture); to shoot (a film)
摄像机,she4 xiang4 ji1,video camera/CL:部[bu4]
摄影,she4 ying3,to take a photograph/photography/to shoot (a movie)
丧生,sang4 sheng1,to die/to lose one's life
丧失,sang4 shi1,to lose/to forfeit
污染,wu1 ran3,to pollute; to contaminate (lit. and fig.)
污水,wu1 shui3,sewage
渡过,du4 guo4,to cross over/to pass through
过渡,guo4 du4,to cross over (by ferry)/transition/interim/caretaker (administration)
国旗,guo2 qi2,flag (of a country)/CL:面[mian4]
甘心,gan1 xin1,to be willing to/to resign oneself to
耐人寻味,nai4 ren2 xun2 wei4,thought-provoking/worth thinking over/to provide food for thought
耐性,nai4 xing4,patience
耐心,nai4 xin1,to be patient/patience
忍耐,ren3 nai4,to endure/to bear with/to exercise patience/to restrain oneself/patience/endurance
不耐烦,bu4 nai4 fan2,impatient/to lose patience
能耐,neng2 nai4,ability/capability
文凭,wen2 ping2,diploma
凭证,ping2 zheng4,proof/certificate/receipt/voucher
凭着,ping2 zhe5,relying on/on the basis of
凭借,ping2 jie4,to rely on/to depend on/by means of/thanks to/sth that one relies on
包扎,bao1 za1,variant of 包紮|包扎[bao1 za1]
扎实,zha1 shi5,strong/solid/sturdy/firm/practical
扎根,zha1 gen1,to take root
抢夺,qiang3 duo2,to plunder/to pillage/to forcibly take
抢眼,qiang3 yan3,eye-catching
抢救,qiang3 jiu4,to rescue
情绪,qing2 xu4,mood/state of mind/moodiness/CL:種|种[zhong3]
粗暴,cu1 bao4,rough/cruel
粗心,cu1 xin1,careless/thoughtless
粗心大意,cu1 xin1 da4 yi4,negligent/careless/inadvertent
粗鲁,cu1 lu3,coarse/crude (in one's manner)/boorish
粗略,cu1 lu:e4,rough (not precise or accurate)/cursory
肩负,jian1 fu4,to shoulder (a burden)/to bear/to suffer (a disadvantage)
桥梁,qiao2 liang2,bridge (lit. and fig.)
幻觉,huan4 jue2,illusion/hallucination/figment of one's imagination
幻想,huan4 xiang3,delusion/fantasy
变幻莫测,bian4 huan4 mo4 ce4,to change unpredictably/unpredictable/erratic/treacherous
科幻,ke1 huan4,science fiction/abbr. for 科學幻想|科学幻想[ke1 xue2 huan4 xiang3]
虚幻,xu1 huan4,imaginary/illusory
幻影,huan4 ying3,phantom/mirage
梦幻,meng4 huan4,dream/illusion/reverie
比比皆是,bi3 bi3 jie1 shi4,can be found everywhere
破碎,po4 sui4,to smash to pieces/to shatter
宇宙,yu3 zhou4,universe/cosmos
叔叔,shu1 shu5,father's younger brother/uncle/Taiwan pr. [shu2 shu5]/CL:個|个[ge4]
岩石,yan2 shi2,rock
动荡,dong4 dang4,variant of 動蕩|动荡[dong4 dang4]
倾家荡产,qing1 jia1 dang4 chan3,to lose a family fortune (idiom)
空荡荡,kong1 dang4 dang4,empty; deserted
综合,zong1 he2,comprehensive/composite/synthesized/mixed/to sum up/to integrate/to synthesize
错综复杂,cuo4 zong1 fu4 za2,tangled and complicated (idiom)
综上所述,zong1 shang4 suo3 shu4,to summarize/to sum up
爬山,pa2 shan1,to climb a mountain/to mountaineer/hiking/mountaineering
荷花,he2 hua1,lotus
熟悉,shu2 xi1,to be familiar with/to know well
获悉,huo4 xi1,to learn of sth/to find out/to get news
据悉,ju4 xi1,according to reports/it is reported (that)
根深蒂固,gen1 shen1 di4 gu4,deep-rooted (problem etc)
往返,wang3 fan3,to go back and forth; to go to and fro; to do a round trip
重返,chong2 fan3,to return to
返回,fan3 hui2,to return to/to come (or go) back
返还,fan3 huan2,restitution/return of something to its original owner/remittance
理直气壮,li3 zhi2 qi4 zhuang4,in the right and self-confident (idiom); bold and confident with justice on one's side/to have the courage of one's convictions/just and forceful
壮胆,zhuang4 dan3,to get one’s courage up/to embolden
壮观,zhuang4 guan1,spectacular/magnificent sight
壮大,zhuang4 da4,to expand/to strengthen
强壮,qiang2 zhuang4,strong/sturdy/robust
壮丽,zhuang4 li4,magnificence/magnificent/majestic/glorious
健壮,jian4 zhuang4,robust/healthy/sturdy
壮实,zhuang4 shi5,robust/sturdy
单薄,dan1 bo2,weak/frail/thin/flimsy
薄弱,bo2 ruo4,weak; frail
悄悄,qiao1 qiao1,quiet; making little or no noise/surreptitious; stealthy/anxious; worried/Taiwan pr. [qiao3 qiao3]
扫描,sao3 miao2,to scan
打扫,da3 sao3,to clean/to sweep
扫兴,sao3 xing4,to spoil things; to dampen spirits/to feel deflated; to be dispirited
扫除,sao3 chu2,to sweep/to clean with a brush/to sweep away (often fig.)
过敏,guo4 min3,oversensitive/allergic/allergy
敏感,min3 gan3,sensitive/susceptible
灵敏,ling2 min3,smart/clever/sensitive/keen/quick/sharp
障碍,zhang4 ai4,barrier/obstruction/hindrance/impediment/obstacle
阻碍,zu3 ai4,to obstruct/to hinder/to block/obstruction/hindrance
碍事,ai4 shi4,to be in the way; to be a hindrance/(usu. in the negative) to be of consequence; to matter
繁殖,fan2 zhi2,to breed/to reproduce/to propagate
养殖,yang3 zhi2,to cultivate/cultivation/to further/to encourage
详细,xiang2 xi4,detailed/in detail/minute
耳熟能详,er3 shu2 neng2 xiang2,what's frequently heard can be repeated in detail (idiom)
详尽,xiang2 jin4,thorough and detailed/exhaustive/the tedious details in full
启迪,qi3 di2,to edify/enlightenment
矛盾,mao2 dun4,contradiction/CL:個|个[ge4]/conflicting views/contradictory
矛头,mao2 tou2,spearhead/barb/an attack or criticism
自相矛盾,zi4 xiang1 mao2 dun4,to contradict oneself/self-contradictory/inconsistent
霍乱,huo4 luan4,cholera
允许,yun3 xu3,to permit/to allow
大幅度,da4 fu2 du4,by a wide margin/substantial
篇幅,pian1 fu5,length (of a piece of writing)/space occupied on a printed page
幅度,fu2 du4,width/extent/range/scope
过剩,guo4 sheng4,to be excessive; to be more than is required
剩下,sheng4 xia4,to remain/left over
剩余,sheng4 yu2,remainder/surplus
凯歌,kai3 ge1,triumphal hymn/victory song/paean
赞赏,zan4 shang3,to admire/to praise/to appreciate
观赏,guan1 shang3,to look at sth with pleasure; to watch (sth marvelous)/ornamental
输液,shu1 ye4,intravenous infusion; to get put on an IV
血液,xue4 ye4,blood
液体,ye4 ti3,liquid
三番五次,san1 fan1 wu3 ci4,over and over again (idiom)
翻番,fan1 fan1,to double/to increase by a certain number of times
信箱,xin4 xiang1,mailbox/post office box
箱子,xiang1 zi5,"suitcase/chest/box/case/trunk/CL:隻|只[zhi1],個|个[ge4]"
后备箱,hou4 bei4 xiang1,trunk/boot (of a car)
冰箱,bing1 xiang1,"icebox/freezer cabinet/refrigerator/CL:臺|台[tai2],個|个[ge4]"
集装箱,ji2 zhuang1 xiang1,container (for shipping)
体贴,ti3 tie1,considerate (of other people's needs)
贴切,tie1 qie4,close-fitting/closest (translation)
补贴,bu3 tie1,to subsidize/subsidy/allowance/to supplement (one's salary etc)/benefit
津贴,jin1 tie1,allowance
贴近,tie1 jin4,to press close to/to snuggle close/intimate
张贴,zhang1 tie1,to post (a notice)/to advertise
漫画,man4 hua4,caricature/cartoon/Japanese manga
漫长,man4 chang2,very long/endless
浪漫,lang4 man4,romantic
漫游,man4 you2,to travel around/to roam/(mobile telephony) roaming
酸奶,suan1 nai3,yogurt
心酸,xin1 suan1,to feel sad
新郎,xin1 lang2,bridegroom/groom
舒适,shu1 shi4,cozy/snug
舒服,shu1 fu5,comfortable/feeling well
眉毛,mei2 mao5,eyebrow/CL:根[gen1]
眉开眼笑,mei2 kai1 yan3 xiao4,"brows raised in delight, eyes laughing (idiom); beaming with joy/all smiles"
忧虑,you1 lu:4,to worry/anxiety (about)
无忧无虑,wu2 you1 wu2 lu:4,carefree and without worries (idiom)
担忧,dan1 you1,to worry/to be concerned
后顾之忧,hou4 gu4 zhi1 you1,"fears of trouble in the rear (idiom); family worries (obstructing freedom of action)/worries about the future consequences/often in negative expressions, meaning ""no worries about anything"""
浮力,fu2 li4,buoyancy
浮现,fu2 xian4,to appear before one's eyes/to come into view/to float into appearance/to come back (of images from the past)/to emerge/it emerges/it occurs (to me that..)
辛苦,xin1 ku3,exhausting/hard/tough/arduous/to work hard/to go to a lot of trouble/hardship(s)
辛酸,xin1 suan1,pungent (taste)/bitter/fig. sad/miserable
失恋,shi1 lian4,to lose one's love/to break up (in a romantic relationship)/to feel jilted
恋爱,lian4 ai4,"(romantic) love/CL:個|个[ge4],場|场[chang3]/in love/to have an affair"
留恋,liu2 lian4,reluctant to leave/to hate to have to go/to recall fondly
恋恋不舍,lian4 lian4 bu4 she3,reluctant to part
迷恋,mi2 lian4,to be infatuated with/to be enchanted by/to be passionate about
西餐,xi1 can1,"Western-style food/CL:份[fen4],頓|顿[dun4]"
中餐,zhong1 can1,"lunch/Chinese meal/Chinese food/CL:份[fen4],頓|顿[dun4]"
晚餐,wan3 can1,"evening meal/dinner/CL:份[fen4],頓|顿[dun4],次[ci4]"
套餐,tao4 can1,set meal/(fig.) product or service package (e.g. for a cell phone subscription)
餐馆,can1 guan3,restaurant/CL:家[jia1]
野餐,ye3 can1,picnic/to have a picnic
餐桌,can1 zhuo1,dining table; dinner table/CL:張|张[zhang1]
早餐,zao3 can1,"breakfast/CL:份[fen4],頓|顿[dun4],次[ci4]"
餐厅,can1 ting1,"dining hall/dining room/restaurant/CL:間|间[jian1],家[jia1]"
午餐,wu3 can1,"lunch/luncheon/CL:份[fen4],頓|顿[dun4],次[ci4]"
快餐,kuai4 can1,fast food/snack/quick meal
用餐,yong4 can1,to eat a meal
就餐,jiu4 can1,to dine
恐吓,kong3 he4,to threaten/to menace
吓人,xia4 ren2,to scare/scary/frightening
挺好,ting3 hao3,very good
励志,li4 zhi4,to encourage/encouragement
奖励,jiang3 li4,to reward/reward (as encouragement)
鼓励,gu3 li4,to encourage
激励,ji1 li4,to encourage/to urge/motivation/incentive
辞退,ci2 tui4,to dismiss/to discharge/to fire
不辞而别,bu4 ci2 er2 bie2,to leave without saying good-bye
辞典,ci2 dian3,"dictionary (variant of 詞典|词典[ci2 dian3])/CL:本[ben3],部[bu4]"
言辞,yan2 ci2,words/expression/what one says
辞职,ci2 zhi2,to resign
致辞,zhi4 ci2,"to express in words or writing/to make a speech (esp. short introduction, vote of thanks, afterword, funeral homily etc)/to address (an audience)/same as 致詞|致词"
推辞,tui1 ci2,"to decline (an appointment, invitation etc)"
告辞,gao4 ci2,to say goodbye/to take one's leave
辞去,ci2 qu4,to resign/to quit
键盘,jian4 pan2,keyboard
关键,guan1 jian4,crucial point/crux/CL:個|个[ge4]/key/crucial/pivotal
按键,an4 jian4,button or key (on a device)/keystroke/CL:個|个[ge4]/to press a button
队伍,dui4 wu3,"ranks/troops/queue/line/procession/CL:個|个[ge4],支[zhi1],條|条[tiao2]"
高峰期,gao1 feng1 qi1,peak period/rush hour
山峰,shan1 feng1,(mountain) peak
高峰,gao1 feng1,peak/summit/height
峰会,feng1 hui4,summit meeting
峰回路转,feng1 hui2 lu4 zhuan3,the mountain road twists around each new peak (idiom)/(of a mountain road) twisting and turning/fig. an opportunity has come unexpectedly/things have taken a new turn
尺度,chi3 du4,scale/yardstick
尺子,chi3 zi5,ruler (measuring instrument)/CL:把[ba3]
昨天,zuo2 tian1,yesterday
黎明,li2 ming2,dawn; daybreak
前辈,qian2 bei4,senior/older generation/precursor
长辈,zhang3 bei4,one's elders/older generation
一辈子,yi1 bei4 zi5,(for) a lifetime
贯彻,guan4 che4,to implement/to put into practice/to carry out
一贯,yi1 guan4,consistent/constant/from start to finish/all along/persistent
贯通,guan4 tong1,to link up/to thread together
贯穿,guan4 chuan1,to run through/a connecting thread from beginning to end/to link
侦察,zhen1 cha2,to investigate a crime/to scout/to reconnoiter/reconnaissance/detection/a scout
光滑,guang1 hua2,glossy; sleek; smooth
滑冰,hua2 bing1,to skate/skating
滑雪,hua2 xue3,to ski/skiing
入场券,ru4 chang3 quan4,admission ticket
崇高,chong2 gao1,majestic/sublime
崇拜,chong2 bai4,to worship/adoration
崇尚,chong2 shang4,to hold up (as an model)/to hold in esteem/to revere/to advocate
扰乱,rao3 luan4,to disturb/to perturb/to harass
干扰,gan1 rao3,to disturb/to interfere/perturbation/interference (physics)
困扰,kun4 rao3,to perplex/to disturb/to cause complications
打扰,da3 rao3,to disturb/to bother/to trouble
宪法,xian4 fa3,constitution (of a country)/CL:部[bu4]
绕行,rao4 xing2,to take a circular (or circuitous) route/to do a circuit/(of a planet) to orbit/(of a sailor) to circumnavigate/to take a detour/to bypass
环绕,huan2 rao4,to surround/to circle/to revolve around
围绕,wei2 rao4,to revolve around/to center on (an issue)
日趋,ri4 qu1,(increasing) day by day/(more critical) with every passing day/gradually
趋于,qu1 yu2,to tend towards
趋势,qu1 shi4,trend; tendency
慈善,ci2 shan4,benevolent/charitable
仁慈,ren2 ci2,benevolent/charitable/kind/kindly/kindness/merciful
乔装,qiao2 zhuang1,to pretend/to feign/to disguise oneself
阅读,yue4 du2,to read/reading
阅历,yue4 li4,to experience/experience
出汗,chu1 han4,to perspire/to sweat
汗水,han4 shui3,sweat/perspiration
树枝,shu4 zhi1,branch/twig
拖累,tuo1 lei3,to encumber/to be a burden on/to implicate
拖延,tuo1 yan2,to delay/to put off/to procrastinate
墨水,mo4 shui3,ink/CL:瓶[ping2]
威胁,wei1 xie2,to threaten; to menace
插嘴,cha1 zui3,to interrupt (sb talking)/to butt in/to cut into a conversation
插图,cha1 tu2,illustration
插手,cha1 shou3,to get involved in/to meddle/interference
火箭,huo3 jian4,rocket/CL:枚[mei2]
腊月,La4 yue4,twelfth lunar month
粉碎,fen3 sui4,to crush; to smash; to shatter
面粉,mian4 fen3,flour
粉丝,fen3 si1,bean vermicelli/mung bean starch noodles/Chinese vermicelli/cellophane noodles/CL:把[ba3]/fan (loanword)/enthusiast for sb or sth
奶粉,nai3 fen3,powdered milk
洗衣粉,xi3 yi1 fen3,laundry detergent/washing powder
泥土,ni2 tu3,earth; soil; mud; clay
水泥,shui3 ni2,cement/CL:袋[dai4]
摄氏度,She4 shi4 du4,°C (degrees Celsius)
姓氏,xing4 shi4,family name
一毛不拔,yi1 mao2 bu4 ba2,stingy (idiom)
海拔,hai3 ba2,height above sea level/elevation
选拔,xuan3 ba2,to select the best
提拔,ti2 ba2,to promote to a higher job/to select for promotion
受骗,shou4 pian4,to be cheated/to be taken in/to be hoodwinked
骗人,pian4 ren2,to cheat sb/a scam
骗子,pian4 zi5,swindler/a cheat
智慧,zhi4 hui4,wisdom/knowledge/intelligent/intelligence
多媒体,duo1 mei2 ti3,multimedia
媒体,mei2 ti3,"media, esp. news media"
传媒,chuan2 mei2,media
敬佩,jing4 pei4,to esteem/to admire
佩服,pei4 fu2,to admire
发愤图强,fa1 fen4 tu2 qiang2,to be strongly determined to succeed (idiom)
气愤,qi4 fen4,indignant/furious
愤怒,fen4 nu4,angry/indignant/wrath/ire
扑面而来,pu1 mian4 er2 lai2,lit. sth hits one in the face/directly in one's face/sth assaults the senses/blatant (advertising)/eye-catching/(a smell) assaults the nostrils
红扑扑,hong2 pu1 pu1,red/rosy/flushed
扑克,pu1 ke4,poker (game) (loanword)/playing cards
年龄,nian2 ling2,"(a person's) age/CL:把[ba3],個|个[ge4]"
高龄,gao1 ling2,elderly
驱动,qu1 dong4,to drive/to propel/drive (vehicle wheel)/drive mechanism (tape or disk)/device driver (computing software)
驱逐,qu1 zhu2,to expel/to deport/banishment
爱惜,ai4 xi1,to cherish/to treasure/to use sparingly
可惜,ke3 xi1,it is a pity/what a pity/unfortunately
珍惜,zhen1 xi1,to treasure/to value/to cherish
不惜,bu4 xi1,not stint/not spare/not hesitate (to do sth)/not scruple (to do sth)
豪华,hao2 hua2,luxurious
富豪,fu4 hao2,rich and powerful person
自豪,zi4 hao2,proud (of one's achievements etc)
掩盖,yan3 gai4,to conceal/to hide behind/to cover up
掩护,yan3 hu4,to screen/to shield/to cover/protection/cover/CL:面[mian4]
兼容,jian1 rong2,compatible
兼顾,jian1 gu4,"to attend simultaneously to two or more things/to balance (career and family, family and education etc)"
兼任,jian1 ren4,to hold several jobs at once/concurrent post/working part-time
兼职,jian1 zhi2,to hold concurrent posts/concurrent job/moonlighting
跳跃,tiao4 yue4,to jump/to leap/to bound/to skip
活跃,huo2 yue4,active/lively/excited/to enliven/to brighten up
飞跃,fei1 yue4,to leap
尸体,shi1 ti3,dead body/corpse/carcass/CL:具[ju4]
严肃,yan2 su4,solemn/grave/serious/earnest/severe
手帕,shou3 pa4,handkerchief/CL:方[fang1]
行驶,xing2 shi3,to travel along a route (of vehicles etc)
历届,li4 jie4,"all previous (meetings, sessions etc)"
届时,jie4 shi2,when the time comes/at the scheduled time
欣赏,xin1 shang3,to appreciate; to enjoy; to admire
欣喜,xin1 xi3,happy
欣欣向荣,xin1 xin1 xiang4 rong2,(idiom) flourishing/thriving
恩惠,en1 hui4,favor/grace
优惠,you1 hui4,privilege/favorable (terms)/preferential (treatment)/discount (price)
实惠,shi2 hui4,tangible benefit/material advantages/cheap/economical/advantageous (deal)/substantial (discount)
画册,hua4 ce4,picture album
手册,shou3 ce4,manual; handbook
注册,zhu4 ce4,to register/to enroll
储存,chu3 cun2,stockpile/to store/to stockpile/storage
储备,chu3 bei4,reserves/to store up
桑拿,sang1 na2,sauna (loanword)
说闲话,shuo1 xian2 hua4,to chat/to gossip
休闲,xiu1 xian2,leisure/relaxation/not working/idle/to enjoy leisure/to lie fallow
惨白,can3 bai2,deathly pale
悲惨,bei1 can3,miserable/tragic
惨痛,can3 tong4,bitter/painful/deeply distressed
惨重,can3 zhong4,disastrous
整洁,zheng3 jie2,neatly/tidy
纯洁,chun2 jie2,pure/clean and honest/to purify
洁净,jie2 jing4,clean/to cleanse
清洁工,qing1 jie2 gong1,cleaner/janitor/garbage collector
简洁,jian3 jie2,concise/succinct/pithy
清洁,qing1 jie2,clean/to clean
追踪,zhui1 zong1,to follow a trail/to trace/to pursue
跟踪,gen1 zong1,to follow sb's tracks/to tail/to shadow/tracking
失踪,shi1 zong1,to be missing/to disappear/unaccounted for
宾馆,bin1 guan3,"guesthouse/lodge/hotel/CL:個|个[ge4],家[jia1]"
贵宾,gui4 bin1,honored guest/distinguished guest/VIP
来宾,Lai2 bin1,Laibin prefecture-level city in Guangxi
频频,pin2 pin2,repeatedly/again and again/continuously/constantly
视频,shi4 pin2,video
频繁,pin2 fan2,frequently/often
频道,pin2 dao4,frequency/(television) channel
频率,pin2 lu:4,frequency
报仇,bao4 chou2,to take revenge/to avenge
仇人,chou2 ren2,foe/one's personal enemy
仇恨,chou2 hen4,to hate/hatred/enmity/hostility
磨合,mo2 he2,to break in/to wear in
打磨,da3 mo2,to polish; to burnish; to shine
磨难,mo2 nan4,a torment/a trial/tribulation/a cross (to bear)/well-tried
磨损,mo2 sun3,to suffer wear and tear; to deteriorate through use; to wear out
折磨,zhe2 mo2,to torment/to torture
递给,di4 gei3,to hand it (i.e. the aforementioned item) to (sb)
传递,chuan2 di4,to transmit; to pass on to sb else/(math.) transitive
递交,di4 jiao1,to present/to give/to hand over/to hand in/to lay before
快递,kuai4 di4,express delivery
改邪归正,gai3 xie2 gui1 zheng4,to mend one's ways (idiom)/to turn over a new leaf
邪恶,xie2 e4,sinister/vicious/wicked/evil
碰撞,peng4 zhuang4,to collide/collision
冲撞,chong1 zhuang4,to collide/jerking motion/to impinge/to offend/to provoke
撞击,zhuang4 ji1,to strike/to hit/to ram
拟定,ni3 ding4,to draw up/to draft/to formulate
模拟,mo2 ni3,"imitation/to simulate/to imitate/analog (device, as opposed to digital)"
虚拟,xu1 ni3,to imagine; to make up/fictitious; theoretical; hypothetical/(computing) to emulate/(computing) virtual
摇滚,yao2 gun3,rock 'n' roll (music)/to rock/to fall off
连滚带爬,lian2 gun3 dai4 pa2,rolling and crawling/trying frantically to escape (idiom)
滚动,gun3 dong4,to roll/(to do sth) in a loop/to scroll (computing)/to progressively expand (economics)/to rumble (of thunder)
演奏,yan3 zou4,to perform on a musical instrument
节奏,jie2 zou4,rhythm/tempo/musical pulse/cadence/beat
奏效,zou4 xiao4,to show results/effective
伴奏,ban4 zou4,to accompany (musically)
容颜,rong2 yan2,mien/complexion
五颜六色,wu3 yan2 liu4 se4,multicolored/every color under the sun
颜色,yan2 se4,color/countenance/appearance/facial expression/pigment/dyestuff
兴奋剂,xing1 fen4 ji4,stimulant/doping (in athletics)
成绩,cheng2 ji4,"achievement/performance records/grades/CL:項|项[xiang4],個|个[ge4]"
业绩,ye4 ji4,"achievement/accomplishment/(in more recent usage) performance (of a business, employee etc)/results"
贡献,gong4 xian4,to contribute/to dedicate/to devote/contribution/CL:個|个[ge4]
疯狂,feng1 kuang2,crazy; frenzied; wild
疯子,feng1 zi5,madman/lunatic
山坡,shan1 po1,hillside
瞧不起,qiao2 bu4 qi3,to look down upon; to hold in contempt
截然不同,jie2 ran2 bu4 tong2,entirely different/different as black and white
截至,jie2 zhi4,up to (a time)/by (a time)
截止,jie2 zhi3,to close/to stop/to put a stop to sth/cut-off point/stopping point/deadline
燃料,ran2 liao4,fuel
点燃,dian3 ran2,to ignite/to set on fire/aflame
燃烧,ran2 shao1,to ignite/to combust/to burn/combustion/flaming
燃气,ran2 qi4,"fuel gas (coal gas, natural gas, methane etc)"
燃放,ran2 fang4,to light/to set off (firecrackers etc)
燃油,ran2 you2,fuel oil
焦虑,jiao1 lu:4,anxious/worried/apprehensive
焦急,jiao1 ji2,anxiety/anxious
焦点,jiao1 dian3,focal point; focus (lit. and fig.)
焦距,jiao1 ju4,focal length/focal distance
宫殿,gong1 dian4,palace/CL:座[zuo4]
殿堂,dian4 tang2,palace/hall/temple buildings
伪造,wei3 zao4,to forge/to fake/to counterfeit
伪装,wei3 zhuang1,to pretend to be (asleep etc)/to disguise oneself as/pretense/disguise/(military) to camouflage/camouflage
虚伪,xu1 wei3,false/hypocritical/artificial/sham
柳树,liu3 shu4,willow
封锁,feng1 suo3,to blockade/to seal off/to lock down
锁定,suo3 ding4,"to lock (a door)/to close with a latch/to lock into place/a lock/a latch/to lock a computer file (to prevent it being overwritten)/to lock (denying access to a computer system or device or files, e.g. by password-protection)/to focus attention on/to target"
连锁店,lian2 suo3 dian4,chain store
连锁,lian2 suo3,to interlock/to be linked/chain (store etc)
拉锁,la1 suo3,zipper
逼近,bi1 jin4,to press on towards/to close in on/to approach/to draw near
逼真,bi1 zhen1,lifelike/true to life/distinctly/clearly
逼迫,bi1 po4,to force/to compel/to coerce
黄昏,huang2 hun1,dusk/evening/nightfall
昏迷,hun1 mi2,to lose consciousness/to be in a coma/stupor/coma/stunned/disoriented
劝阻,quan4 zu3,to advise against/to dissuade
劝说,quan4 shuo1,to persuade/persuasion/to advise
劝告,quan4 gao4,to advise/to urge/to exhort/exhortation/advice/CL:席[xi2]
呈现,cheng2 xian4,to appear/to emerge/to present (a certain appearance)/to demonstrate
辞呈,ci2 cheng2,(written) resignation
搜索,sou1 suo3,to search (a place)/to search (a database)/to search for (sth)
搜寻,sou1 xun2,to search/to look for
搜查,sou1 cha2,to search
搜救,sou1 jiu4,search and rescue
搜集,sou1 ji2,to gather/to collect
辛勤,xin1 qin2,hardworking/industrious
勤快,qin2 kuai4,diligent; hardworking
后勤,hou4 qin2,logistics
勤奋,qin2 fen4,hardworking/diligent
勤劳,qin2 lao2,hardworking/industrious/diligent
